avg_temp,year,city,country
12.17,1944,Philadelphia,United States
12.35,1945,Philadelphia,United States
12.9,1946,Philadelphia,United States
12.11,1947,Philadelphia,United States
12.09,1948,Philadelphia,United States
13.53,1949,Philadelphia,United States
12.08,1950,Philadelphia,United States
12.6,1951,Philadelphia,United States
12.75,1952,Philadelphia,United States
13.26,1953,Philadelphia,United States
12.66,1954,Philadelphia,United States
12.42,1955,Philadelphia,United States
12.2,1956,Philadelphia,United States
12.78,1957,Philadelphia,United States
11.34,1958,Philadelphia,United States
12.99,1959,Philadelphia,United States
11.96,1960,Philadelphia,United States
12.17,1961,Philadelphia,United States
11.51,1962,Philadelphia,United States
11.6,1963,Philadelphia,United States
12.23,1964,Philadelphia,United States
11.95,1965,Philadelphia,United States
11.86,1966,Philadelphia,United States
11.46,1967,Philadelphia,United States
12.15,1968,Philadelphia,United States
11.94,1969,Philadelphia,United States
12.13,1970,Philadelphia,United States
12.41,1971,Philadelphia,United States
11.83,1972,Philadelphia,United States
13.08,1973,Philadelphia,United States
12.48,1974,Philadelphia,United States
12.74,1975,Philadelphia,United States
11.93,1976,Philadelphia,United States
12.43,1977,Philadelphia,United States
11.51,1978,Philadelphia,United States
12.07,1979,Philadelphia,United States
12.17,1980,Philadelphia,United States
12,1981,Philadelphia,United States
12.1,1982,Philadelphia,United States
12.66,1983,Philadelphia,United States
12.48,1984,Philadelphia,United States
12.81,1985,Philadelphia,United States
12.62,1986,Philadelphia,United States
12.52,1987,Philadelphia,United States
11.95,1988,Philadelphia,United States
12.07,1989,Philadelphia,United States
13.69,1990,Philadelphia,United States
13.6,1991,Philadelphia,United States
11.94,1992,Philadelphia,United States
12.45,1993,Philadelphia,United States
12.45,1994,Philadelphia,United States
12.54,1995,Philadelphia,United States
11.92,1996,Philadelphia,United States
12.4,1997,Philadelphia,United States
13.86,1998,Philadelphia,United States
13.29,1999,Philadelphia,United States
12.31,2000,Philadelphia,United States
13.07,2001,Philadelphia,United States
13.59,2002,Philadelphia,United States
12.07,2003,Philadelphia,United States
12.69,2004,Philadelphia,United States
12.71,2005,Philadelphia,United States
13.64,2006,Philadelphia,United States
12.97,2007,Philadelphia,United States
13.01,2008,Philadelphia,United States
12.5,2009,Philadelphia,United States
13.28,2010,Philadelphia,United States
13.65,2011,Philadelphia,United States
14.05,2012,Philadelphia,United States
14.01,2013,Philadelphia,United States
